,0,1,2,3,4,5,6,7,8,9
148,4,3,8,5,1,6,9,7,0,2
149,4,3,8,5,1,6,9,7,0,2
150,4,3,8,5,1,6,9,7,0,2
151,4,3,8,5,1,6,9,7,0,2
152,4,3,8,5,1,6,9,7,0,2
153,4,3,8,5,1,6,9,7,0,2
154,4,3,8,5,1,6,9,7,0,2
155,4,3,8,5,1,6,9,7,0,2
156,10,3,8,5,1,6,9,7,0,2
157,10,8,3,5,1,6,9,7,0,2
158,4,8,3,5,1,6,9,7,0,2
159,4,8,3,5,1,15,9,7,0,2
160,4,8,3,5,1,15,9,7,0,19
161,4,8,12,5,1,15,9,7,0,19
162,4,8,12,5,1,15,9,7,0,19
163,4,8,12,7,1,15,9,5,0,19
164,4,8,3,7,1,15,9,5,18,19
165,4,8,3,7,1,15,9,5,6,19
166,4,8,3,7,1,0,9,5,6,19
167,4,8,3,7,1,0,16,5,6,2
168,4,8,3,7,1,0,16,5,6,19
169,4,11,3,7,1,0,8,5,6,19
170,4,11,3,7,1,0,8,5,6,2
171,4,11,3,7,14,0,8,5,6,2
172,4,11,3,7,9,0,8,17,6,2
173,4,11,3,7,9,0,8,17,18,2
174,4,11,3,7,9,0,8,5,18,2
175,4,6,3,7,9,0,16,5,18,2
176,4,6,3,13,9,0,16,5,18,2
177,4,6,3,13,14,0,16,5,18,2
178,4,6,3,13,14,0,16,5,7,2
179,10,6,3,13,14,0,16,5,7,2
180,10,6,3,13,0,15,16,5,7,2
181,10,6,3,0,14,15,16,5,7,2
182,10,6,3,0,9,15,16,5,7,2
183,10,6,3,0,9,15,4,5,7,2
184,8,6,3,0,9,15,4,5,7,2
185,8,6,3,0,9,1,4,5,7,2
186,8,4,3,0,9,1,6,5,7,2
187,8,4,3,0,9,1,6,5,7,2
188,8,4,3,0,9,1,6,5,7,2
189,8,4,3,0,9,1,6,5,7,2
190,8,4,3,0,9,1,6,5,7,2
191,8,4,3,0,9,15,6,5,7,2
192,8,4,3,0,9,15,6,5,7,2
193,8,4,3,13,9,15,6,5,7,2
194,8,11,3,1,9,15,6,5,7,2
195,8,11,12,1,9,15,6,5,7,2
196,8,0,12,1,9,15,6,5,7,2
197,8,0,12,1,9,3,6,5,7,2
198,8,0,5,1,9,3,6,17,7,2
199,8,0,5,1,9,3,6,2,7,19
200,8,0,5,1,9,3,6,2,7,4
201,8,0,5,1,9,3,6,2,7,4
202,8,0,5,1,9,3,6,2,7,19
203,8,0,5,1,9,3,6,2,7,4
204,8,0,5,1,9,3,6,2,7,4
205,8,0,5,1,9,3,6,2,7,4
206,8,0,5,13,9,3,6,2,7,4
207,8,0,6,13,9,3,5,2,7,4
208,8,0,6,13,9,3,5,2,7,4
209,10,0,6,8,9,3,5,2,7,4
210,10,0,12,8,9,3,5,2,7,4
211,10,0,12,8,9,3,5,17,7,4
212,10,0,12,8,9,3,5,17,7,4
213,10,0,12,8,9,3,5,17,7,4
214,10,0,6,8,9,3,5,17,7,4
215,10,11,6,8,9,3,5,17,7,4
216,0,11,6,8,9,3,5,17,7,4
217,0,11,6,8,9,3,5,1,7,4
218,0,11,6,8,9,3,5,1,7,4
219,0,11,6,1,9,3,5,8,7,4
220,0,11,6,1,9,4,5,8,7,3
221,0,11,6,1,14,4,5,8,7,3
222,0,11,6,1,14,4,5,8,7,3
223,0,11,6,13,1,4,5,8,7,3
224,0,9,6,13,1,4,5,8,7,3
225,0,9,6,13,1,4,5,8,7,3
226,0,11,6,9,1,4,5,8,7,3
227,0,2,6,9,1,4,5,8,7,3
